step,reward
26,26.0
39,13.0
58,19.0
76,18.0
86,10.0
117,31.0
138,21.0
157,19.0
167,10.0
184,17.0
196,12.0
223,27.0
238,15.0
253,15.0
265,12.0
279,14.0
298,19.0
312,14.0
339,27.0
349,10.0
362,13.0
386,24.0
410,24.0
450,40.0
473,23.0
491,18.0
502,11.0
512,10.0
528,16.0
543,15.0
560,17.0
577,17.0
589,12.0
619,30.0
653,34.0
678,25.0
694,16.0
707,13.0
726,19.0
739,13.0
750,11.0
762,12.0
772,10.0
801,29.0
810,9.0
825,15.0
846,21.0
862,16.0
898,36.0
907,9.0
919,12.0
953,34.0
967,14.0
991,24.0
1000,9.0
1011,11.0
1021,10.0
1041,20.0
1061,20.0
1073,12.0
1095,22.0
1105,10.0
1123,18.0
1134,11.0
1143,9.0
1157,14.0
1177,20.0
1187,10.0
1201,14.0
1218,17.0
1248,30.0
1270,22.0
1284,14.0
1296,12.0
1314,18.0
1335,21.0
1348,13.0
1365,17.0
1377,12.0
1388,11.0
1414,26.0
1434,20.0
1450,16.0
1470,20.0
1486,16.0
1498,12.0
1512,14.0
1525,13.0
1534,9.0
1548,14.0
1570,22.0
1582,12.0
1598,16.0
1620,22.0
1636,16.0
1651,15.0
1683,32.0
1699,16.0
1715,16.0
1744,29.0
1764,20.0
1775,11.0
1800,25.0
1814,14.0
1833,19.0
1848,15.0
1859,11.0
1872,13.0
1883,11.0
1898,15.0
1910,12.0
1921,11.0
1936,15.0
1946,10.0
1960,14.0
1974,14.0
1989,15.0
1999,10.0
2008,9.0
2033,25.0
2055,22.0
2083,28.0
2100,17.0
2112,12.0
2146,34.0
2161,15.0
2184,23.0
2214,30.0
2227,13.0
2250,23.0
2268,18.0
2280,12.0
2292,12.0
2307,15.0
2324,17.0
2341,17.0
2364,23.0
2377,13.0
2407,30.0
2498,91.0
2510,12.0
2541,31.0
2553,12.0
2568,15.0
2580,12.0
2589,9.0
2616,27.0
2629,13.0
2689,60.0
2707,18.0
2747,40.0
2764,17.0
2779,15.0
2884,105.0
2894,10.0
2906,12.0
2918,12.0
2931,13.0
3027,96.0
3039,12.0
3166,127.0
3176,10.0
3214,38.0
3313,99.0
3407,94.0
3468,61.0
3479,11.0
3512,33.0
3638,126.0
3688,50.0
3735,47.0
3767,32.0
3840,73.0
3966,126.0
4129,163.0
4144,15.0
4260,116.0
4395,135.0
4499,104.0
4518,19.0
4708,190.0
4869,161.0
4893,24.0
5080,187.0
5211,131.0
5262,51.0
5454,192.0
5596,142.0
5765,169.0
5915,150.0
6125,210.0
6313,188.0
6485,172.0
6764,279.0
7017,253.0
7204,187.0
7354,150.0
7531,177.0
7711,180.0
7917,206.0
8079,162.0
8262,183.0
8464,202.0
8634,170.0
8827,193.0
9038,211.0
9230,192.0
9403,173.0
9570,167.0
9763,193.0
9948,185.0
10118,170.0
10306,188.0
10507,201.0
10680,173.0
10859,179.0
11033,174.0
11213,180.0
11381,168.0
11521,140.0
11674,153.0
11814,140.0
12000,186.0
12165,165.0
12316,151.0
12477,161.0
12602,125.0
12776,174.0
12912,136.0
13072,160.0
13217,145.0
13346,129.0
13475,129.0
13611,136.0
13745,134.0
13862,117.0
13975,113.0
14082,107.0
14188,106.0
14344,156.0
14465,121.0
14566,101.0
14680,114.0
14793,113.0
14897,104.0
15002,105.0
15139,137.0
15244,105.0
15375,131.0
15487,112.0
15661,174.0
15764,103.0
15904,140.0
16013,109.0
16221,208.0
16334,113.0
16449,115.0
16569,120.0
16682,113.0
16794,112.0
16916,122.0
17040,124.0
17179,139.0
17298,119.0
17407,109.0
17540,133.0
17653,113.0
17782,129.0
17901,119.0
18017,116.0
18140,123.0
18463,323.0
18601,138.0
18738,137.0
18882,144.0
19035,153.0
19213,178.0
19339,126.0
19461,122.0
19587,126.0
19726,139.0
19867,141.0
19984,117.0
20129,145.0
20263,134.0
20376,113.0
20498,122.0
20613,115.0
20740,127.0
20855,115.0
20978,123.0
21090,112.0
21201,111.0
21318,117.0
21420,102.0
21537,117.0
21663,126.0
21802,139.0
21837,35.0
21955,118.0
22127,172.0
22235,108.0
22349,114.0
22470,121.0
22579,109.0
22698,119.0
22809,111.0
22911,102.0
23046,135.0
23147,101.0
23251,104.0
23367,116.0
23468,101.0
23560,92.0
23652,92.0
23744,92.0
23871,127.0
24009,138.0
24112,103.0
24162,50.0
24273,111.0
24371,98.0
24467,96.0
24569,102.0
24663,94.0
24773,110.0
24794,21.0
24888,94.0
24980,92.0
25076,96.0
25193,117.0
25338,145.0
25431,93.0
25526,95.0
25543,17.0
25639,96.0
25727,88.0
25870,143.0
25914,44.0
26007,93.0
26099,92.0
26192,93.0
26288,96.0
26383,95.0
26486,103.0
26591,105.0
26683,92.0
26789,106.0
26839,50.0
26939,100.0
27042,103.0
27071,29.0
27163,92.0
27264,101.0
27282,18.0
27383,101.0
27477,94.0
27573,96.0
27667,94.0
27762,95.0
27855,93.0
27953,98.0
28042,89.0
28125,83.0
28225,100.0
28321,96.0
28404,83.0
28499,95.0
28568,69.0
28669,101.0
28761,92.0
28857,96.0
28944,87.0
29037,93.0
29149,112.0
29242,93.0
29337,95.0
29430,93.0
29539,109.0
29632,93.0
29724,92.0
29828,104.0
29924,96.0
30023,99.0
30122,99.0
30258,136.0
30356,98.0
30458,102.0
30564,106.0
30673,109.0
30776,103.0
30876,100.0
30986,110.0
31089,103.0
31199,110.0
31304,105.0
31433,129.0
31528,95.0
31640,112.0
31736,96.0
31833,97.0
31941,108.0
32051,110.0
32154,103.0
32285,131.0
32405,120.0
32525,120.0
32650,125.0
32752,102.0
32849,97.0
32974,125.0
33084,110.0
33251,167.0
33353,102.0
33378,25.0
33400,22.0
33509,109.0
33606,97.0
33720,114.0
34025,305.0
34301,276.0
34399,98.0
34496,97.0
34596,100.0
34695,99.0
34787,92.0
34963,176.0
35061,98.0
35154,93.0
35249,95.0
35349,100.0
35443,94.0
35578,135.0
35672,94.0
35973,301.0
36080,107.0
36178,98.0
36339,161.0
36462,123.0
36603,141.0
36826,223.0
37005,179.0
37185,180.0
37283,98.0
37417,134.0
37518,101.0
37700,182.0
37839,139.0
37989,150.0
38166,177.0
38338,172.0
38492,154.0
38631,139.0
38791,160.0
38929,138.0
39092,163.0
39107,15.0
39239,132.0
39377,138.0
39529,152.0
39724,195.0
39911,187.0
40076,165.0
40239,163.0
40391,152.0
40540,149.0
40630,90.0
40809,179.0
40966,157.0
41131,165.0
41192,61.0
41367,175.0
41521,154.0
41656,135.0
41881,225.0
41894,13.0
42150,256.0
42429,279.0
42777,348.0
42972,195.0
43187,215.0
43574,387.0
43853,279.0
43949,96.0
44147,198.0
44455,308.0
44699,244.0
45199,500.0
45262,63.0
45486,224.0
45755,269.0
46159,404.0
46420,261.0
46518,98.0
46859,341.0
46954,95.0
47187,233.0
47204,17.0
47389,185.0
47539,150.0
47630,91.0
47860,230.0
48072,212.0
48288,216.0
48475,187.0
48606,131.0
48880,274.0
48997,117.0
49233,236.0
49379,146.0
49572,193.0
49763,191.0
50000,237.0
50065,65.0
50325,260.0
50452,127.0
50635,183.0
50770,135.0
50896,126.0
51055,159.0
51300,245.0
51407,107.0
51517,110.0
51627,110.0
51739,112.0
51847,108.0
52089,242.0
52210,121.0
52341,131.0
52501,160.0
52635,134.0
52859,224.0
53026,167.0
53267,241.0
53376,109.0
53587,211.0
53888,301.0
54114,226.0
54301,187.0
54448,147.0
54567,119.0
54715,148.0
54870,155.0
55089,219.0
55267,178.0
55427,160.0
55574,147.0
55699,125.0
55897,198.0
56023,126.0
56188,165.0
56469,281.0
56611,142.0
56749,138.0
56921,172.0
57052,131.0
57303,251.0
57334,31.0
57386,52.0
57616,230.0
57636,20.0
57793,157.0
57931,138.0
58000,69.0
58160,160.0
58289,129.0
58511,222.0
58651,140.0
58783,132.0
58916,133.0
59042,126.0
59181,139.0
59307,126.0
59430,123.0
59542,112.0
59661,119.0
59781,120.0
59899,118.0
60017,118.0
60187,170.0
60287,100.0
60443,156.0
60602,159.0
60843,241.0
61023,180.0
61125,102.0
61184,59.0
61296,112.0
61336,40.0
61510,174.0
61589,79.0
61752,163.0
61799,47.0
61864,65.0
61998,134.0
62156,158.0
62308,152.0
62451,143.0
62605,154.0
62703,98.0
62890,187.0
63011,121.0
63217,206.0
63436,219.0
63657,221.0
64003,346.0
64313,310.0
64550,237.0
64860,310.0
64969,109.0
65237,268.0
65444,207.0
65753,309.0
66082,329.0
66539,457.0
66961,422.0
67461,500.0
67961,500.0
68183,222.0
68408,225.0
68645,237.0
68870,225.0
69370,500.0
69870,500.0
70154,284.0
70391,237.0
70891,500.0
71391,500.0
71673,282.0
71996,323.0
72496,500.0
72756,260.0
73009,253.0
73509,500.0
74009,500.0
74509,500.0
74953,444.0
74991,38.0
75491,500.0
75991,500.0
76248,257.0
76439,191.0
76599,160.0
77099,500.0
77599,500.0
78099,500.0
78599,500.0
79099,500.0
79599,500.0
79703,104.0
80203,500.0
80512,309.0
80614,102.0
80744,130.0
81025,281.0
81206,181.0
81512,306.0
81775,263.0
82076,301.0
82194,118.0
82694,500.0
83194,500.0
83455,261.0
83587,132.0
84087,500.0
84587,500.0
85087,500.0
85587,500.0
86087,500.0
86587,500.0
87087,500.0
87587,500.0
88087,500.0
88587,500.0
89087,500.0
89587,500.0
89863,276.0
90128,265.0
90628,500.0
91046,418.0
91400,354.0
91900,500.0
92173,273.0
92673,500.0
93173,500.0
93673,500.0
94173,500.0
94673,500.0
95173,500.0
95673,500.0
96173,500.0
96673,500.0
97173,500.0
97673,500.0
98066,393.0
98566,500.0
99066,500.0
99392,326.0
99765,373.0
100224,459.0
100602,378.0
101012,410.0
101367,355.0
101734,367.0
102053,319.0
102390,337.0
102725,335.0
103056,331.0
103190,134.0
103523,333.0
103927,404.0
104069,142.0
104195,126.0
104316,121.0
104448,132.0
104585,137.0
104730,145.0
105230,500.0
105592,362.0
106092,500.0
106434,342.0
106496,62.0
106864,368.0
107238,374.0
107738,500.0
108238,500.0
108672,434.0
109172,500.0
109645,473.0
110145,500.0
110369,224.0
110589,220.0
111089,500.0
111563,474.0
112063,500.0
112364,301.0
112864,500.0
113364,500.0
113785,421.0
114220,435.0
114720,500.0
115220,500.0
115720,500.0
116020,300.0
116520,500.0
117020,500.0
117520,500.0
117873,353.0
118373,500.0
118834,461.0
119334,500.0
119834,500.0
120334,500.0
120834,500.0
121334,500.0
121834,500.0
122334,500.0
122834,500.0
122980,146.0
122993,13.0
123015,22.0
123141,126.0
123641,500.0
124141,500.0
124641,500.0
125141,500.0
125641,500.0
126141,500.0
126533,392.0
127033,500.0
127533,500.0
128033,500.0
128302,269.0
128658,356.0
128946,288.0
129446,500.0
129946,500.0
130279,333.0
130779,500.0
131132,353.0
131313,181.0
131619,306.0
132057,438.0
132254,197.0
132502,248.0
132693,191.0
132876,183.0
133039,163.0
133208,169.0
133371,163.0
133540,169.0
133717,177.0
133879,162.0
134163,284.0
134387,224.0
134550,163.0
134840,290.0
135199,359.0
135371,172.0
135493,122.0
135993,500.0
136269,276.0
136602,333.0
137082,480.0
137261,179.0
137451,190.0
137631,180.0
137806,175.0
137996,190.0
138179,183.0
138386,207.0
138579,193.0
139079,500.0
139320,241.0
139581,261.0
139816,235.0
140316,500.0
140613,297.0
141113,500.0
141393,280.0
141619,226.0
141859,240.0
142359,500.0
142684,325.0
143184,500.0
143684,500.0
144184,500.0
144582,398.0
144994,412.0
145373,379.0
145873,500.0
146226,353.0
146556,330.0
146855,299.0
147355,500.0
147855,500.0
148277,422.0
148777,500.0
149277,500.0
149777,500.0
150277,500.0
150630,353.0
150821,191.0
151185,364.0
151539,354.0
151857,318.0
152162,305.0
152500,338.0
152675,175.0
152998,323.0
153300,302.0
153598,298.0
153906,308.0
154406,500.0
154906,500.0
155406,500.0
155734,328.0
156070,336.0
156570,500.0
157070,500.0
157570,500.0
157880,310.0
