step,reward
20,20.0
47,27.0
64,17.0
101,37.0
145,44.0
159,14.0
174,15.0
185,11.0
198,13.0
220,22.0
248,28.0
269,21.0
283,14.0
296,13.0
320,24.0
333,13.0
344,11.0
354,10.0
363,9.0
385,22.0
429,44.0
447,18.0
458,11.0
484,26.0
503,19.0
522,19.0
541,19.0
551,10.0
586,35.0
595,9.0
612,17.0
649,37.0
669,20.0
688,19.0
705,17.0
721,16.0
729,8.0
747,18.0
776,29.0
810,34.0
836,26.0
848,12.0
859,11.0
871,12.0
886,15.0
898,12.0
913,15.0
930,17.0
945,15.0
978,33.0
992,14.0
1015,23.0
1029,14.0
1042,13.0
1053,11.0
1064,11.0
1074,10.0
1089,15.0
1101,12.0
1113,12.0
1121,8.0
1135,14.0
1146,11.0
1158,12.0
1174,16.0
1188,14.0
1197,9.0
1207,10.0
1221,14.0
1234,13.0
1248,14.0
1268,20.0
1284,16.0
1297,13.0
1310,13.0
1322,12.0
1351,29.0
1363,12.0
1376,13.0
1388,12.0
1401,13.0
1411,10.0
1421,10.0
1431,10.0
1441,10.0
1451,10.0
1467,16.0
1478,11.0
1491,13.0
1509,18.0
1522,13.0
1534,12.0
1546,12.0
1554,8.0
1567,13.0
1577,10.0
1589,12.0
1601,12.0
1611,10.0
1621,10.0
1634,13.0
1645,11.0
1655,10.0
1669,14.0
1694,25.0
1706,12.0
1716,10.0
1730,14.0
1741,11.0
1754,13.0
1769,15.0
1782,13.0
1793,11.0
1805,12.0
1819,14.0
1834,15.0
1843,9.0
1853,10.0
1862,9.0
1877,15.0
1888,11.0
1903,15.0
1919,16.0
1928,9.0
1942,14.0
1953,11.0
1962,9.0
1977,15.0
1987,10.0
2004,17.0
2015,11.0
2024,9.0
2032,8.0
2041,9.0
2049,8.0
2058,9.0
2067,9.0
2080,13.0
2095,15.0
2105,10.0
2119,14.0
2132,13.0
2140,8.0
2150,10.0
2161,11.0
2176,15.0
2186,10.0
2197,11.0
2209,12.0
2223,14.0
2234,11.0
2246,12.0
2260,14.0
2270,10.0
2279,9.0
2291,12.0
2304,13.0
2314,10.0
2327,13.0
2335,8.0
2346,11.0
2361,15.0
2371,10.0
2383,12.0
2394,11.0
2405,11.0
2421,16.0
2431,10.0
2446,15.0
2457,11.0
2465,8.0
2475,10.0
2486,11.0
2501,15.0
2513,12.0
2524,11.0
2535,11.0
2545,10.0
2560,15.0
2569,9.0
2578,9.0
2590,12.0
2602,12.0
2614,12.0
2627,13.0
2640,13.0
2650,10.0
2661,11.0
2670,9.0
2681,11.0
2690,9.0
2700,10.0
2711,11.0
2725,14.0
2733,8.0
2743,10.0
2751,8.0
2766,15.0
2775,9.0
2785,10.0
2795,10.0
2804,9.0
2814,10.0
2823,9.0
2834,11.0
2846,12.0
2857,11.0
2867,10.0
2877,10.0
2886,9.0
2896,10.0
2906,10.0
2920,14.0
2930,10.0
2939,9.0
2949,10.0
2959,10.0
2968,9.0
2977,9.0
2986,9.0
2997,11.0
3006,9.0
3016,10.0
3028,12.0
3038,10.0
3050,12.0
3064,14.0
3076,12.0
3085,9.0
3095,10.0
3106,11.0
3118,12.0
3130,12.0
3140,10.0
3151,11.0
3159,8.0
3169,10.0
3178,9.0
3187,9.0
3199,12.0
3210,11.0
3222,12.0
3233,11.0
3242,9.0
3252,10.0
3263,11.0
3273,10.0
3283,10.0
3291,8.0
3301,10.0
3310,9.0
3321,11.0
3331,10.0
3341,10.0
3352,11.0
3362,10.0
3372,10.0
3382,10.0
3393,11.0
3403,10.0
3412,9.0
3422,10.0
3433,11.0
3443,10.0
3453,10.0
3471,18.0
3487,16.0
3497,10.0
3586,89.0
3630,44.0
3683,53.0
3746,63.0
3782,36.0
3821,39.0
3900,79.0
3931,31.0
3955,24.0
3981,26.0
4024,43.0
4055,31.0
4087,32.0
4155,68.0
4181,26.0
4208,27.0
4267,59.0
4323,56.0
4360,37.0
4398,38.0
4438,40.0
4467,29.0
4505,38.0
4536,31.0
4605,69.0
4678,73.0
4756,78.0
4839,83.0
4907,68.0
4995,88.0
5056,61.0
5115,59.0
5211,96.0
5241,30.0
5271,30.0
5328,57.0
5384,56.0
5417,33.0
5462,45.0
5503,41.0
5599,96.0
5631,32.0
5689,58.0
5731,42.0
5820,89.0
5899,79.0
5957,58.0
6012,55.0
6062,50.0
6112,50.0
6216,104.0
6281,65.0
6318,37.0
6357,39.0
6388,31.0
6426,38.0
6557,131.0
6626,69.0
6677,51.0
6734,57.0
6782,48.0
6835,53.0
6900,65.0
7029,129.0
7046,17.0
7081,35.0
7104,23.0
7130,26.0
7171,41.0
7207,36.0
7244,37.0
7278,34.0
7342,64.0
7368,26.0
7384,16.0
7408,24.0
7425,17.0
7466,41.0
7496,30.0
7529,33.0
7562,33.0
7600,38.0
7667,67.0
7731,64.0
7825,94.0
7858,33.0
7912,54.0
7952,40.0
8032,80.0
8122,90.0
8147,25.0
8189,42.0
8236,47.0
8290,54.0
8369,79.0
8425,56.0
8549,124.0
8609,60.0
8644,35.0
8700,56.0
8770,70.0
8814,44.0
8856,42.0
8891,35.0
8951,60.0
9042,91.0
9174,132.0
9197,23.0
9219,22.0
9284,65.0
9322,38.0
9368,46.0
9451,83.0
9514,63.0
9566,52.0
9614,48.0
9630,16.0
9658,28.0
9698,40.0
9814,116.0
9847,33.0
9910,63.0
9973,63.0
10035,62.0
10060,25.0
10103,43.0
10152,49.0
10225,73.0
10267,42.0
10297,30.0
10348,51.0
10533,185.0
10621,88.0
10676,55.0
10707,31.0
10773,66.0
10941,168.0
11048,107.0
11118,70.0
11136,18.0
11164,28.0
11211,47.0
11236,25.0
11270,34.0
11311,41.0
11343,32.0
11380,37.0
11430,50.0
11490,60.0
11543,53.0
11566,23.0
11628,62.0
11650,22.0
11674,24.0
11768,94.0
11797,29.0
11853,56.0
11897,44.0
11926,29.0
11951,25.0
12042,91.0
12098,56.0
12152,54.0
12203,51.0
12318,115.0
12468,150.0
12582,114.0
12665,83.0
12783,118.0
12845,62.0
12958,113.0
13044,86.0
13103,59.0
13143,40.0
13198,55.0
13253,55.0
13315,62.0
13366,51.0
13472,106.0
13521,49.0
13599,78.0
13678,79.0
13816,138.0
13857,41.0
13899,42.0
13946,47.0
14016,70.0
14099,83.0
14216,117.0
14260,44.0
14345,85.0
14392,47.0
14432,40.0
14476,44.0
14499,23.0
14527,28.0
14686,159.0
14752,66.0
14892,140.0
15027,135.0
15166,139.0
15185,19.0
15252,67.0
15373,121.0
15439,66.0
15578,139.0
15751,173.0
15823,72.0
15870,47.0
15907,37.0
15935,28.0
15976,41.0
16059,83.0
16106,47.0
16200,94.0
16266,66.0
16314,48.0
16424,110.0
16516,92.0
16623,107.0
16723,100.0
16923,200.0
17014,91.0
17120,106.0
17214,94.0
17420,206.0
17542,122.0
17620,78.0
17720,100.0
17840,120.0
17950,110.0
18152,202.0
18261,109.0
18355,94.0
18493,138.0
18577,84.0
18695,118.0
18793,98.0
18876,83.0
18953,77.0
19046,93.0
19241,195.0
19328,87.0
19411,83.0
19514,103.0
19568,54.0
19736,168.0
19859,123.0
20007,148.0
20098,91.0
20372,274.0
20645,273.0
20775,130.0
21008,233.0
21201,193.0
21638,437.0
21799,161.0
22299,500.0
22562,263.0
22926,364.0
23169,243.0
23469,300.0
23610,141.0
23849,239.0
24246,397.0
24421,175.0
24582,161.0
24810,228.0
24983,173.0
25133,150.0
25269,136.0
25428,159.0
25649,221.0
25803,154.0
25956,153.0
25970,14.0
25980,10.0
25992,12.0
26001,9.0
26011,10.0
26021,10.0
26033,12.0
26045,12.0
26054,9.0
26063,9.0
26074,11.0
26083,9.0
26093,10.0
26102,9.0
26111,9.0
26121,10.0
26130,9.0
26139,9.0
26151,12.0
26162,11.0
26172,10.0
26182,10.0
26194,12.0
26204,10.0
26217,13.0
26228,11.0
26238,10.0
26246,8.0
26259,13.0
26269,10.0
26278,9.0
26286,8.0
26295,9.0
26307,12.0
26315,8.0
26325,10.0
26335,10.0
26345,10.0
26355,10.0
26366,11.0
26375,9.0
26384,9.0
26392,8.0
26402,10.0
26411,9.0
26421,10.0
26431,10.0
26441,10.0
26449,8.0
26457,8.0
26467,10.0
26476,9.0
26484,8.0
26494,10.0
26503,9.0
26512,9.0
26521,9.0
26530,9.0
26539,9.0
26553,14.0
26562,9.0
26570,8.0
26579,9.0
26587,8.0
26596,9.0
26607,11.0
26616,9.0
26627,11.0
26636,9.0
26644,8.0
26654,10.0
26663,9.0
26672,9.0
26682,10.0
26692,10.0
26701,9.0
26711,10.0
26720,9.0
26729,9.0
26739,10.0
26749,10.0
26758,9.0
26768,10.0
26777,9.0
26787,10.0
26797,10.0
26806,9.0
26816,10.0
26826,10.0
26838,12.0
26847,9.0
26855,8.0
26864,9.0
26873,9.0
26883,10.0
26895,12.0
26904,9.0
26913,9.0
26925,12.0
26935,10.0
26945,10.0
26955,10.0
26964,9.0
26974,10.0
26983,9.0
26991,8.0
27000,9.0
27011,11.0
27022,11.0
27032,10.0
27041,9.0
27051,10.0
27059,8.0
27068,9.0
27078,10.0
27088,10.0
27096,8.0
27107,11.0
27118,11.0
27128,10.0
27139,11.0
27149,10.0
27159,10.0
27168,9.0
27177,9.0
27187,10.0
27213,26.0
27223,10.0
27232,9.0
27242,10.0
27251,9.0
27259,8.0
27269,10.0
27279,10.0
27287,8.0
27298,11.0
27313,15.0
27324,11.0
27333,9.0
27344,11.0
27353,9.0
27365,12.0
27373,8.0
27382,9.0
27392,10.0
27401,9.0
27409,8.0
27419,10.0
27428,9.0
27438,10.0
27448,10.0
27457,9.0
27467,10.0
27476,9.0
27486,10.0
27496,10.0
27506,10.0
27514,8.0
27524,10.0
27534,10.0
27544,10.0
27553,9.0
27561,8.0
27570,9.0
27579,9.0
27589,10.0
27599,10.0
27609,10.0
27618,9.0
27629,11.0
27637,8.0
27647,10.0
27658,11.0
27667,9.0
27676,9.0
27686,10.0
27695,9.0
27704,9.0
27714,10.0
27722,8.0
27730,8.0
27740,10.0
27750,10.0
27760,10.0
27770,10.0
27780,10.0
27790,10.0
27800,10.0
27811,11.0
27819,8.0
27829,10.0
27838,9.0
27847,9.0
27856,9.0
27865,9.0
27874,9.0
27883,9.0
27893,10.0
27903,10.0
27912,9.0
27922,10.0
27932,10.0
27942,10.0
27952,10.0
27962,10.0
27973,11.0
27982,9.0
27991,9.0
28000,9.0
28009,9.0
28018,9.0
28027,9.0
28036,9.0
28046,10.0
28056,10.0
28066,10.0
28075,9.0
28083,8.0
28092,9.0
28102,10.0
28111,9.0
28121,10.0
28129,8.0
28137,8.0
28147,10.0
28156,9.0
28166,10.0
28178,12.0
28188,10.0
28196,8.0
28206,10.0
28214,8.0
28223,9.0
28235,12.0
28243,8.0
28253,10.0
28262,9.0
28271,9.0
28279,8.0
28289,10.0
28299,10.0
28308,9.0
28317,9.0
