step,reward
17,17.0
34,17.0
71,37.0
83,12.0
94,11.0
119,25.0
132,13.0
151,19.0
170,19.0
188,18.0
203,15.0
234,31.0
253,19.0
264,11.0
279,15.0
293,14.0
307,14.0
321,14.0
341,20.0
365,24.0
398,33.0
421,23.0
459,38.0
485,26.0
540,55.0
588,48.0
623,35.0
651,28.0
679,28.0
694,15.0
714,20.0
731,17.0
779,48.0
802,23.0
881,79.0
969,88.0
1038,69.0
1104,66.0
1144,40.0
1223,79.0
1233,10.0
1391,158.0
1401,10.0
1503,102.0
1545,42.0
1668,123.0
1724,56.0
1913,189.0
1934,21.0
2090,156.0
2309,219.0
2550,241.0
2767,217.0
3098,331.0
3293,195.0
3481,188.0
3672,191.0
3853,181.0
4119,266.0
4329,210.0
4627,298.0
4886,259.0
5158,272.0
5343,185.0
5503,160.0
5716,213.0
5951,235.0
6164,213.0
6402,238.0
6658,256.0
6941,283.0
7228,287.0
7393,165.0
7667,274.0
7918,251.0
8198,280.0
8455,257.0
8779,324.0
9187,408.0
9436,249.0
9784,348.0
10051,267.0
10481,430.0
10814,333.0
11124,310.0
11134,10.0
11142,8.0
11153,11.0
11162,9.0
11172,10.0
11183,11.0
11193,10.0
11203,10.0
11211,8.0
11220,9.0
11231,11.0
11241,10.0
11250,9.0
11261,11.0
11270,9.0
11279,9.0
11290,11.0
11329,39.0
11341,12.0
11353,12.0
11365,12.0
11375,10.0
11387,12.0
11396,9.0
11406,10.0
11417,11.0
11427,10.0
11436,9.0
11447,11.0
11456,9.0
11465,9.0
11474,9.0
11484,10.0
11497,13.0
11511,14.0
11540,29.0
11588,48.0
11676,88.0
11851,175.0
12281,430.0
12557,276.0
12816,259.0
13010,194.0
13201,191.0
13402,201.0
13822,420.0
14251,429.0
14565,314.0
14954,389.0
15454,500.0
15731,277.0
16111,380.0
16611,500.0
17111,500.0
17611,500.0
18111,500.0
18611,500.0
19111,500.0
19487,376.0
19818,331.0
20121,303.0
20403,282.0
20820,417.0
21320,500.0
21642,322.0
21893,251.0
22393,500.0
22893,500.0
23279,386.0
23763,484.0
24263,500.0
24763,500.0
25263,500.0
25763,500.0
26043,280.0
26296,253.0
26585,289.0
26913,328.0
27272,359.0
27667,395.0
27862,195.0
28155,293.0
