step,reward
19,19.0
64,45.0
94,30.0
109,15.0
120,11.0
136,16.0
182,46.0
204,22.0
220,16.0
241,21.0
251,10.0
269,18.0
288,19.0
307,19.0
333,26.0
347,14.0
421,74.0
434,13.0
449,15.0
462,13.0
479,17.0
494,15.0
505,11.0
519,14.0
536,17.0
564,28.0
582,18.0
592,10.0
604,12.0
621,17.0
633,12.0
642,9.0
655,13.0
670,15.0
697,27.0
708,11.0
718,10.0
741,23.0
755,14.0
771,16.0
791,20.0
801,10.0
817,16.0
827,10.0
837,10.0
863,26.0
875,12.0
889,14.0
903,14.0
921,18.0
934,13.0
948,14.0
966,18.0
977,11.0
989,12.0
1015,26.0
1029,14.0
1043,14.0
1053,10.0
1064,11.0
1099,35.0
1111,12.0
1139,28.0
1174,35.0
1220,46.0
1238,18.0
1250,12.0
1277,27.0
1292,15.0
1311,19.0
1345,34.0
1364,19.0
1375,11.0
1393,18.0
1439,46.0
1479,40.0
1492,13.0
1508,16.0
1521,13.0
1542,21.0
1561,19.0
1584,23.0
1596,12.0
1625,29.0
1658,33.0
1670,12.0
1689,19.0
1700,11.0
1709,9.0
1719,10.0
1734,15.0
1745,11.0
1755,10.0
1770,15.0
1791,21.0
1800,9.0
1812,12.0
1829,17.0
1839,10.0
1856,17.0
1870,14.0
1879,9.0
1889,10.0
1937,48.0
1947,10.0
1958,11.0
1972,14.0
1983,11.0
1998,15.0
2032,34.0
2043,11.0
2055,12.0
2065,10.0
2078,13.0
2088,10.0
2099,11.0
2112,13.0
2133,21.0
2147,14.0
2186,39.0
2198,12.0
2208,10.0
2216,8.0
2229,13.0
2244,15.0
2259,15.0
2295,36.0
2319,24.0
2355,36.0
2364,9.0
2375,11.0
2394,19.0
2411,17.0
2443,32.0
2452,9.0
2461,9.0
2497,36.0
2511,14.0
2526,15.0
2538,12.0
2550,12.0
2561,11.0
2574,13.0
2583,9.0
2595,12.0
2640,45.0
2658,18.0
2686,28.0
2700,14.0
2708,8.0
2719,11.0
2733,14.0
2751,18.0
2761,10.0
2776,15.0
2790,14.0
2837,47.0
2867,30.0
2877,10.0
2887,10.0
2896,9.0
2914,18.0
2946,32.0
2959,13.0
2969,10.0
3009,40.0
3023,14.0
3068,45.0
3083,15.0
3099,16.0
3113,14.0
3124,11.0
3135,11.0
3144,9.0
3157,13.0
3188,31.0
3198,10.0
3208,10.0
3218,10.0
3228,10.0
3266,38.0
3283,17.0
3292,9.0
3303,11.0
3342,39.0
3357,15.0
3374,17.0
3387,13.0
3397,10.0
